,pollution_index,traffic_time_index,groceries_index,name,hotel_price_index,cpi_index,quality_of_life_index,restaurant_price_index,property_price_to_income_ratio,health_care_index,safety_index,crime_index,cpi_and_rent_index,rent_index,traffic_inefficiency_index,purchasing_power_incl_rent_index,traffic_co2_index,traffic_index,error
10BDNH3B5G,,,,"Ceglie Messapica, Italy",,,,,,,0.0,100.0,,,,,,,
10KXSW3B8X,15.5172413793,40.0,73.2367010755,"Palm Coast, FL, United States",55.866001334,,,65.5592666877,3.02083937501,69.4444444444,75.78125,24.21875,,23.0271128039,207.968984874,,10640.0,197.743542973,
10RZHR3BBK,27.5862068966,,,"Monroe, MI, United States",,,,48.5943515409,,,,,,,,,,,
10SRT73BCF,,,,"Simi Valley, CA, United States",,,,66.5559734142,,,43.75,56.25,,48.3211434486,,,,,
10T9D23BCQ,46.408045977,34.75,70.6219789279,"Austin, TX, United States",60.7562043476,72.9394857477,183.092569006,69.0082254666,5.26188263429,75.9645061728,58.0099587912,41.9900412088,61.8166627031,49.823912496,169.323930453,144.249746057,8091.0,160.575513406,
10W3BG3BEA,22.4137931034,14.0,,"Lubbock, TX, United States",57.9897143771,,,62.4999126202,2.79112435974,91.6666666667,35.15625,64.84375,,24.0651225521,36.1201467605,,3724.0,84.7762464866,
10XF9Z3BFA,55.0574712644,55.0,58.2412551177,"Treviso, Italy",,69.6694992436,173.726527567,78.9808290869,7.51209574739,95.8333333333,68.2291666667,31.7708333333,44.3225335467,16.9931562031,257.722202122,117.914978898,14630.0,294.047226973,
11293R3BJ3,90.6434302109,45.7777777778,57.0860842782,"Beijing, China",26.5284003586,53.725095647,78.054771868,35.5809569533,35.1380582877,50.462962963,59.2444441383,40.7555558617,48.4243855556,42.7091016037,200.126858646,81.9015263131,7418.88888889,208.200384057,
113HJ73BK2,,,,"Sydney, NS, Canada",,,,71.3582843791,5.38195520835,,49.21875,50.78125,,20.5662969928,,,,,
113TF03BK8,,,,"Mount Pleasant, PA, United States",,,,,,,,,,,,,,,
11C60H3BPD,,0.0,74.9572369281,"Orange, NSW, Australia",,,,77.0808009453,,,,,,15.9681776457,0.0,,0.0,0.0,
11ZA0M3BX3,,,,"Jinhae, South Korea",,,,,,,,,,,,,,,
1203AP3BX8,58.6206896552,,,"Diadema, Brazil",,,,,,,28.125,71.875,,,,,,,
123EGE3BYN,,,,"Somerset West, South Africa",,,,36.1430023529,1.82370820669,,42.1875,57.8125,,15.1170100541,,,,,
12H7RX3C3X,,,,,,,,,,,,,,,,,,,Couldn't resolve city in your request.
12HQHF3C3Y,41.6475095785,53.0,,"Kelowna, Canada",51.0811566388,,,62.5122742632,4.67582633283,65.5423280423,54.6801363089,45.3198636911,,28.563612111,305.907229769,,3973.33333333,226.470008857,
12PBBP3C63,,,,,,,,,,,,,,,,,,,Couldn't resolve city in your request.
12RRGN3C6Z,27.5862068966,,,"Valdosta, GA, United States",,,,70.6982499931,,,,,,20.4022605672,,,,,
12RTM43C70,,,,"Westminster, United Kingdom",,,,,,,,,,,,,,,
12V8VE3C7P,,,,"Murfreesboro, TN, United States",,,,57.9539894116,,63.8888888889,75.78125,24.21875,,19.7758753744,,,,,
12XQGX3C8E,71.4704029104,39.1538461538,76.9596158374,"Los Angeles, CA, United States",67.9199768233,77.2225453194,157.372153029,77.7415264185,8.63929592391,66.1408730159,44.4352425749,55.5647574251,69.7571817895,61.7079446793,185.404508446,129.812796257,7156.92307692,174.559633372,
12ZD343C93,77.7330428192,64.7272727273,41.0033076161,"Nairobi, Kenya",40.567162694,45.1802562283,88.4125663783,33.6693376403,18.502729714,62.9298941799,33.8595094968,66.1404905032,31.9299102866,17.6432414797,251.895427026,28.2244441597,6694.18181818,311.70227984,
130JXT3C9V,,,,"South Hadley, MA, United States",,,,42.7813175528,,,,,,,,,,,
131HQH3CA4,77.5383141762,23.5,,"Suzhou, China",22.5145005075,,,31.0716706636,10.6481481481,,75.78125,24.21875,,13.1665930933,28.5505028804,,740.0,60.8938879354,
133C4K3CB5,,,,"Congers, NY, United States",,,,,,,,,,,,,,,
133XFK3CBE,,,,"North Bend, WA, United States",,,,,,,,,,,,,,,
137Q203CCT,54.4409613375,43.4545454545,73.0291384296,"Tel Aviv-yafo, Israel",63.0752248073,82.5922485539,149.458168309,89.0462109847,18.4939635817,76.4132553606,68.5669775928,31.4330224072,61.7134956283,39.201794465,191.981867924,92.7556285931,4346.36363636,176.227939872,
137YPF3CCZ,64.9425287356,,,"Pak Kret, Thailand",,,,,,,,,,7.92772803256,,,,,
13P46J3CK7,,,,"Huntington Woods, MI, United States",,,,59.0447497217,,,84.375,15.625,,37.2251771753,,,,,
13WFCC3CPE,,,,"Westonaria, South Africa",,,,,,,,,,,,,,,
1422D63CRA,38.0459770115,,,"Springfield, IL, United States",,,,88.0210912776,,50.0,61.1979166667,38.8020833333,,24.7869569172,,,,,
143Z5K3CSA,27.5862068966,31.5,,"Saguenay, Canada",49.0193668016,,,63.452638785,2.80429584836,76.3888888889,86.9791666667,13.0208333333,,11.8009232526,167.095340446,,8379.0,149.876692647,
144SZY3CSJ,,,,,,,,,,,,,,,,,,,Couldn't resolve city in your request.
