,address_lat,address_lng,contributors,currency,loan_identifier,monthLastUpdate,name,prices,yearLastUpdate
0,-7.238452,112.734996,39,IDR,1VSAV13ZD8,12,"Surabaya, Indonesia",3926000.0,2015
1,37.977133,23.729875,474,EUR,1Q5P3Y3VEV,1,"Athens, Greece",717.856953125,2016
2,49.131095,-122.716958,18,CAD,1JFYQV3PEZ,12,"Langley, BC, Canada",3666.66666667,2015
3,28.349705,77.328463,21,INR,201AJW41JS,10,"Faridabad, India",31800.0,2015
4,34.045806,-118.250712,323,USD,16820N3DM8,1,"Los Angeles, CA, United States",3094.83787879,2016
5,53.584482,-2.393858,10,GBP,1J1DE33NY1,10,"Bolton, United Kingdom",1498.25,2015
6,-25.95498,28.11498,4,ZAR,1PZHZS3V4Y,6,"Midrand, South Africa",15000.0,2015
7,47.412771,18.915021,2,HUF,224J7J42VD,10,"Érd, Hungary",118696.453406,2015
8,-25.443494,-49.056411,127,BRL,1PFMFX3TK1,1,"Curitiba, Brazil",1675.0,2016
9,42.994055,-81.179523,62,CAD,295PBD47RF,1,"London, Canada",2979.0625,2016
10,29.57058,-81.199211,7,USD,16Q6HK3DT2,12,"Palm Coast, FL, United States",2583.33333333,2015
11,-1.303468,36.774764,102,KES,14GVD63CZ4,12,"Nairobi, Kenya",28597.0,2015
12,37.977133,23.729875,474,EUR,20JP6141WN,1,"Athens, Greece",717.856953125,2016
13,32.067319,34.781028,197,ILS,1C9P9S3HHV,1,"Tel Aviv-yafo, Israel",7480.0,2016
14,47.649422,23.553423,11,RON,1RHXGS3X00,10,"Baia Mare, Romania",1466.90173452,2015
15,45.458525,9.164262,233,EUR,EFZ3731SG,1,"Milan, Italy",1659.54157895,2016
16,-5.379217,105.299315,5,IDR,1VYJX13ZG6,11,"Bandar Lampung, Indonesia",2000000.0,2014
17,-7.255091,112.71331,39,IDR,281FPE46F6,12,"Surabaya, Indonesia",3926000.0,2015
18,-33.434753,151.453866,13,AUD,288ACW46NY,1,"Gosford, Australia",4000.0,2016
19,53.584482,-2.393858,10,GBP,1HKFYY3NDZ,10,"Bolton, United Kingdom",1498.25,2015
20,45.733108,21.241429,77,RON,1ZP4D041CB,1,"Timisoara, Romania",2059.41176471,2016
21,45.483101,9.235804,233,EUR,1VSBSB3ZDC,1,"Milan, Italy",1659.54157895,2016
22,38.59116,-89.909465,2,USD,1CADAR3HJB,6,"O'Fallon, IL, United States",2000.0,2015
23,52.510964,13.304994,310,EUR,1SAQAP3XTB,1,"Berlin, Germany",1854.6,2016
24,-6.41384,106.859687,4,IDR,20H67Z41VN,12,"Depok, Indonesia",3000000.0,2015
25,44.408788,8.933717,57,EUR,KJ4YP347A,12,"Genoa, Italy",1679.375,2015
26,32.19089,-110.833431,89,USD,1A8SK83G3A,12,"Tucson, AZ, United States",2905.55555556,2015
27,-1.294718,36.887131,102,KES,28CJK346T1,12,"Nairobi, Kenya",28597.0,2015
28,40.145035,-76.215697,19,USD,1RGF9B3WZ0,12,"Lancaster, PA, United States",2350.0,2015
29,48.525951,-89.215877,25,CAD,280CNH46E7,11,"Thunder Bay, Canada",2569.85,2015
30,40.145035,-76.215697,19,USD,1SSEWZ3Y4F,12,"Lancaster, PA, United States",2350.0,2015
31,28.872807,-81.246436,9,USD,2A50JG48YW,12,"Deltona, FL, United States",1700.0,2015
32,32.067319,34.781028,197,ILS,21X8WM42Q3,1,"Tel Aviv-yafo, Israel",7480.0,2016
33,-7.238452,112.734996,39,IDR,1J9DRH3P7D,12,"Surabaya, Indonesia",3926000.0,2015
34,10.70708,-71.628954,7,USD,22CM854314,9,"Maracaibo, Venezuela",378.666666667,2015
35,-7.464059,112.716554,39,IDR,1WV3ET3ZWZ,12,"Surabaya, Indonesia",3926000.0,2015
36,46.877498,18.615739,4,HUF,2C2JJF4C52,10,"Dunaföldvár, Hungary",121848.226703,2015
37,-1.286641,36.826108,102,KES,17ZPWN3EE9,12,"Nairobi, Kenya",28597.0,2015
38,41.624628,0.637423,12,EUR,1TTCE83YWQ,11,"Lleida, Spain",1400.0,2015
39,39.16804,-84.560166,86,USD,1V4Z9X3Z2H,12,"Cincinnati, OH, United States",2619.80384615,2015
40,35.97069,-86.602268,15,USD,1FJH9G3KNM,12,"Murfreesboro, TN, United States",2491.53333333,2015
41,53.584482,-2.393858,10,GBP,1HKFN43NDY,10,"Bolton, United Kingdom",1498.25,2015
42,-22.917916,-43.253201,251,BRL,2F20TH4J64,1,"Rio De Janeiro, Brazil",2127.07428571,2016
43,55.750309,24.34544,10,EUR,2A6J02490B,7,"Panevezys, Lithuania",442.704711601,2015
