,loan_identifier,nominal_interest_rate,term,purpose,project_description,borrower_identifier,borrower_rating,employment,region,facebook,twitter,paypal,ebay,linkedin,published_at,funded_at,status,amount_requested,amount_funded,issuer_id,fraudulent,address_lat,address_lng,net_income_cents,currency,rates_count,rates_paid,base_currency
0,E4ESQ31PV,1115,term_6_weeks,investment,"I need to make some investments but need to complement the capital, this loan will cover the expenses. Just sit back and enjoy the monthly payments",18TFGM41GTH,B,self_employed,DE,none,none,connected,none,none,2013-06-21 15:24:55 +0200,2013-06-21 17:06:27 +0200,fully_paid,100000000,100000000,1,False,52.540658,13.417918,320000,EUR,1.0,1.0,btc
1,E4EVG31PW,1115,term_6_weeks,renovation,This is my third reputation loan. Of course this one will be repaid on time as the others.,18TFGM41GTH,B,self_employed,DE,none,none,connected,none,none,2013-06-21 15:25:52 +0200,2013-06-24 11:57:17 +0200,fully_paid,110000000,110000000,1,False,52.540658,13.417918,320000,EUR,1.0,1.0,btc
2,E4KSS31PZ,770,term_6_months,education,I want to start using bitcoin. This bitcoin loan can help me to try it out. I will definitely repay,18TFGM41GTJ,A,self_employed,SK,connected,connected,connected,connected,connected,2013-06-21 16:50:17 +0200,2013-06-21 17:01:42 +0200,fully_paid,10000000,10000000,2,False,52.510964,13.304994,185000,EUR,6.0,6.0,btc
3,E4MST31Q6,770,term_6_months,education,test loan,18TFGM41GTJ,A,self_employed,SK,connected,connected,connected,connected,connected,2013-06-21 17:07:22 +0200,2013-06-21 17:15:28 +0200,fully_paid,10000000,10000000,2,False,52.510964,13.304994,185000,EUR,6.0,6.0,btc
4,E58B131QM,1115,term_6_weeks,other,reputation loan number 1,18TFGM41GTH,B,self_employed,DE,none,none,connected,none,none,2013-06-21 22:40:49 +0200,2013-06-21 22:41:06 +0200,fully_paid,10000000,10000000,1,False,52.540658,13.417918,320000,EUR,1.0,1.0,btc
5,E58RN31QR,1029,term_6_months,renovation,reputation loan number 2,18TFGM41GTH,B,self_employed,DE,none,none,connected,none,none,2013-06-21 22:48:05 +0200,2013-06-21 22:48:32 +0200,fully_paid,10000000,10000000,1,False,52.540658,13.417918,320000,EUR,6.0,6.0,btc
6,EBZYT31R7,766,term_6_weeks,investment,This is a project for you guys to get started.,18TFGM41GTH,A,self_employed,DE,none,none,connected,none,none,2013-06-24 12:00:42 +0200,,expired,200000000,60000000,1,False,52.540658,13.417918,320000,EUR,0.0,0.0,btc
7,EFZ3731SG,2457,term_36_months,investment,I work as a teacher and need a motorcycle to go to work every day. I have a governmental job with a steady income. The loan will enable me to save valuable time every day and do some extra hours as a private teacher in the afternoon.,EFYAG31SE,E,salaried,IT,none,none,none,none,none,2013-06-26 00:10:31 +0200,,canceled,2800000000,0,113,False,45.458525,9.164262,134500,EUR,0.0,0.0,btc
8,EG08A31SK,2108,term_36_months,investment,I have a garage in Dijon. We are specialized on oldtimers and have a good customer base. I need to loan to purchase a new lifting ramp. This will allow us to add one employee and finish more repairs per week.,EFZQC31SJ,D,self_employed,FR,none,none,none,none,none,2013-06-26 00:30:18 +0200,,expired,15000000000,70000000,115,False,47.225268,5.137244,231400,EUR,0.0,0.0,btc
9,EH8MV31SR,766,term_6_weeks,consumption,"Test project, will be cancelled",18TFGM41GTJ,A,self_employed,SK,connected,connected,connected,connected,connected,2013-06-26 11:59:39 +0200,,canceled,100000000,50000000,2,False,52.510964,13.304994,185000,EUR,0.0,0.0,btc
10,EHDT531SX,3332,term_6_months,working_capital,"Hey everybody, I want to open a fitness center. To implement this I need the start capital.   ",EH91S31SV,F,studying,DE,none,none,none,none,none,2013-06-26 13:27:49 +0200,,expired,5000000000,20000000,117,True,,,5000,EUR,0.0,0.0,btc
11,EJ6QV31T4,2458,term_6_months,renovation,"I run a tapas restaurant in Sevilla which I need to renovate. We will refurbish the interior and buy new furniture for our guests. The loan will finance most of it, the rest comes from my savings. The restaurant is located in a coming are and besides toursist we have lots of spaniards as customers who come to us for lunch.",EJ67531T2,E,self_employed,ES,none,none,none,none,none,2013-06-26 20:33:15 +0200,2013-07-03 00:00:21 +0200,fully_paid,2000000000,160000000,118,False,37.402682,-5.983645,231400,EUR,6.0,6.0,btc
12,EZKCP31V5,1029,term_6_months,working_capital,"Hi, this is a reutation loan. I want to show that I'm repaying. I will need further funding for my business.",18TFGM41GXP,B,self_employed,GH,none,none,none,none,none,2013-07-01 22:28:54 +0200,,expired,100000000,20000000,102,False,42.815448,-73.970143,148800,USD,0.0,0.0,btc
13,F190431VB,770,term_6_months,other,"Hey everyone, this is a reputation project. Give it a try to see how everything works!",18TFGM41GTJ,A,self_employed,SK,connected,connected,connected,connected,connected,2013-07-02 13:43:48 +0200,,expired,200000000,60000000,2,False,52.510964,13.304994,185000,EUR,0.0,0.0,btc
14,F1K8G31VH,1029,term_6_months,investment,"I need to repair my vehicle and wanted to take the opportunity try this service. Mainly want to see how I works, will definetely repay.",F1AAA31VF,B,salaried,DK,none,none,none,none,none,2013-07-02 16:38:56 +0200,,expired,500000000,0,128,False,55.689747,12.565023,1700000,DKK,0.0,0.0,btc
15,F3KTE31VS,766,term_6_weeks,other,A nice project for you to invest in. Thank you!,18TFGM41GTH,A,self_employed,DE,none,none,connected,none,none,2013-07-03 11:00:46 +0200,,expired,200000000,30000000,1,False,52.540658,13.417918,320000,EUR,0.0,0.0,btc
