,loan_identifier,borrower_identifier,term,purpose,borrower_rating,employment,region,facebook,twitter,paypal,ebay,linkedin,currency,base_currency,location,funded,time_between_published_funded,ratio_requested_funded,amount_funded,address_lat,address_lng,net_income_cents,rates_paid,rates_count,prices,portion_average_salary,nominal_interest_rate,status
0,2078,51,4,2,1,2,14,1,1,0,1,1,14,0,21,1,0,1.0,100000000,52.540658,13.417918,320000,1.0,1.0,2145.16430526,149.172722675,1115,fully_paid
1,2079,51,4,5,1,2,14,1,1,0,1,1,14,0,21,1,2,1.0,110000000,52.540658,13.417918,320000,1.0,1.0,2145.16430526,149.172722675,1115,fully_paid
2,2080,52,3,1,0,2,67,0,0,0,0,0,14,0,60,1,0,1.0,10000000,52.510964,13.304994,185000,6.0,6.0,668.307692308,276.818600368,770,fully_paid
3,2081,52,3,1,0,2,67,0,0,0,0,0,14,0,60,1,0,1.0,10000000,52.510964,13.304994,185000,6.0,6.0,668.307692308,276.818600368,770,fully_paid
4,2082,51,4,3,1,2,14,1,1,0,1,1,14,0,21,1,0,1.0,10000000,52.540658,13.417918,320000,1.0,1.0,2145.16430526,149.172722675,1115,fully_paid
5,2083,51,3,5,1,2,14,1,1,0,1,1,14,0,21,1,0,1.0,10000000,52.540658,13.417918,320000,6.0,6.0,2145.16430526,149.172722675,1029,fully_paid
6,2084,51,4,2,0,2,14,1,1,0,1,1,14,0,21,0,90871,0.3,60000000,52.540658,13.417918,320000,0.0,0.0,2145.16430526,149.172722675,766,expired
7,2085,482,1,2,4,1,36,1,1,1,1,1,14,0,32,0,90869,0.0,0,45.458525,9.164262,134500,0.0,0.0,1548.71583447,86.846145049,2457,canceled
8,2086,484,1,2,3,2,23,1,1,1,1,1,14,0,20,0,90869,0.00466666666667,70000000,47.225268,5.137244,231400,0.0,0.0,1947.32176101,118.829874258,2108,expired
9,2087,52,4,0,0,2,67,0,0,0,0,0,14,0,60,0,90869,0.5,50000000,52.510964,13.304994,185000,0.0,0.0,668.307692308,276.818600368,766,canceled
10,2088,485,3,6,5,3,14,1,1,1,1,1,14,0,21,0,90869,0.004,20000000,-1.0,-1.0,5000,0.0,0.0,2145.16430526,2.33082379179,3332,expired
11,2089,486,3,5,4,2,21,1,1,1,1,1,14,0,64,1,6,0.08,160000000,37.402682,-5.983645,231400,6.0,6.0,1280.23247253,180.748422623,2458,fully_paid
12,2090,53,3,6,1,2,25,1,1,1,1,1,54,0,22,0,90864,0.2,20000000,42.815448,-73.970143,148800,0.0,0.0,370.240076652,401.90138611,1029,expired
13,2091,52,3,3,0,2,67,0,0,0,0,0,14,0,60,0,90863,0.3,60000000,52.510964,13.304994,185000,0.0,0.0,668.307692308,276.818600368,770,expired
14,2092,487,3,2,1,1,15,1,1,1,1,1,11,0,14,0,90863,0.0,0,55.689747,12.565023,1700000,0.0,0.0,19899.6493864,85.4286408263,1029,expired
15,2093,51,4,3,0,2,14,1,1,0,1,1,14,0,21,0,90862,0.15,30000000,52.540658,13.417918,320000,0.0,0.0,2145.16430526,149.172722675,766,expired
16,2094,486,3,3,4,2,21,1,1,1,1,1,14,0,64,1,6,0.2,100000000,37.402682,-5.983645,231400,6.0,6.0,1280.23247253,180.748422623,2458,fully_paid
17,2095,51,4,6,0,2,14,1,1,0,1,1,14,0,21,0,90856,0.025,30000000,52.540658,13.417918,320000,0.0,0.0,2145.16430526,149.172722675,766,expired
18,2096,51,4,3,0,2,14,1,1,0,1,1,14,0,21,0,90855,0.0,0,52.540658,13.417918,320000,0.0,0.0,2145.16430526,149.172722675,766,expired
19,2097,488,4,5,2,2,36,1,1,1,1,1,14,0,32,0,90855,0.0,0,44.408788,8.933717,186700,0.0,0.0,1548.71583447,120.551489075,1465,expired
20,2098,487,3,0,1,1,15,1,1,1,1,1,11,0,14,0,90855,0.0,0,55.689747,12.565023,1700000,0.0,0.0,19899.6493864,85.4286408263,1029,expired
21,2099,489,4,2,0,1,14,1,1,1,1,1,14,0,21,0,90852,0.25,50000000,48.99282,8.394117,570000,0.0,0.0,2145.16430526,265.713912264,766,expired
22,2100,52,3,5,0,2,67,0,0,0,0,0,14,0,60,0,90848,0.0,0,52.510964,13.304994,185000,0.0,0.0,668.307692308,276.818600368,770,expired
23,2101,488,0,3,2,2,36,1,1,1,1,1,14,0,32,0,90848,0.0,0,44.408788,8.933717,186700,0.0,0.0,1548.71583447,120.551489075,1453,expired
24,2102,51,4,3,0,2,14,1,1,0,1,1,14,0,21,0,90848,0.9,90000000,52.540658,13.417918,320000,0.0,0.0,2145.16430526,149.172722675,766,expired
25,2103,490,2,2,2,2,52,1,1,1,1,1,4,0,46,0,90845,0.028,140000000,-8.068811,-34.930926,200000,0.0,0.0,2180.86666667,91.7066609603,1633,canceled
26,2104,487,3,5,1,1,15,1,1,1,1,1,11,0,14,0,90843,0.0,0,55.689747,12.565023,1700000,0.0,0.0,19899.6493864,85.4286408263,1029,expired
27,2105,491,0,2,3,2,0,1,1,0,1,1,1,0,1,0,90842,0.1,50000000,-34.545137,-58.529497,600000,0.0,0.0,1077.87362453,556.651527921,1947,expired
28,2106,52,4,2,0,2,67,0,0,0,0,0,14,0,60,0,90842,0.0,0,52.510964,13.304994,185000,0.0,0.0,668.307692308,276.818600368,766,canceled
29,2107,492,3,2,1,3,38,1,1,1,1,1,26,0,35,0,90841,0.0,0,42.815994,-73.989226,95000,0.0,0.0,270280.52459,0.35148666425,1029,expired
30,2108,51,4,3,0,2,14,1,1,0,1,1,14,0,21,1,6,0.85,170000000,52.540658,13.417918,320000,1.0,1.0,2145.16430526,149.172722675,766,fully_paid
31,2109,484,3,3,3,2,23,1,1,1,1,1,14,0,20,0,90836,0.2,60000000,47.225268,5.137244,231400,0.0,0.0,1947.32176101,118.829874258,1806,expired
